# z  x_e  x_H  x_He  Tmat
  7760.00  0.116785213984439906E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.211487250000000022E+05
  7750.00  0.116785178763075237E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.211214750000000022E+05
  7740.00  0.116785142130902386E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.210942250000000022E+05
  7730.00  0.116785104027349007E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.210669750000000022E+05
  7720.00  0.116785064389478066E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.210397250000000022E+05
  7710.00  0.116785023151351197E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.210124750000000022E+05
  7700.00  0.116784980243937753E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.209852250000000022E+05
  7690.00  0.116784935595160277E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.209579750000000022E+05
  7680.00  0.116784889129576186E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.209307250000000022E+05
  7670.00  0.116784840768377762E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.209034750000000022E+05
  7660.00  0.116784790428982888E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.208762250000000022E+05
  7650.00  0.116784738025125989E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.208489750000000022E+05
  7640.00  0.116784683466403294E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.208217250000000022E+05
  7630.00  0.116784626658409252E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.207944750000000022E+05
  7620.00  0.116784567502145364E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.207672250000000022E+05
  7610.00  0.116784505894156609E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.207399750000000022E+05
  7600.00  0.116784441726031218E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.207127250000000022E+05
  7590.00  0.116784374884355202E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.206854750000000022E+05
  7580.00  0.116784305250348552E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.206582250000000022E+05
  7570.00  0.116784232699683344E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.206309750000000022E+05
  7560.00  0.116784157102119934E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.206037250000000022E+05
  7550.00  0.116784078321188645E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.205764750000000022E+05
  7540.00  0.116783996214098806E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.205492250000000022E+05
  7530.00  0.116783910631193066E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.205219750000000022E+05
